Name,Value,Type
cb1_v149,"-14258.70898, -23954.62891, -6273.83203, 0.02083",float4
cb1_v150,"0.00024, 0.00024, 0.00024, 85.64846",float4
cb1_v151,"0.00007, 0.00007, 0.00007, 285.17419",float4
cb1_v152,"3.00, 4.00, -0.375, 0.125",float4
cb1_v153,"0.00, 1.00, 0.00, 0.00",float4
cb1_v154,"24.576, 0.00, 0.00, 50.00",float4
cb1_v155,"0.00, 300.00, 500.00, 96.00",float4
cb1_v156,"1.00, 1.00, 0.00, 0.00",float4
cb1_v157,"2.00, 2.00, 2.00, 0.00",float4
cb1_v158,"0.00, 0.00, 0.00, 0.00",float4
cb1_v159,"0.00, 0.00, 0.00, 3.40282E+38",float4
cb1_v160,"0.00, 1.00, 0.00, 0.00",float4
cb1_v161,"0.00, 0.00, 1.00, 1.00",float4
cb1_v162,"0.00, 0.00, 1.00, 1.00",float4
cb1_v163,"0.00, 0.00, 0.00, 1.00",float4
cb1_v164,"0.00, 0.00, 0.00, 0.00",float4
cb1_v165,"0.00, 0.00, 0.00, 0.00",float4
cb1_v166,"0.00, 0.00, 0.00, 0.00",float4
cb1_v167,"0.00, 0.00, 0.00, 1.00",float4
cb1_v168,"0.00, 0.00, 0.00, 1.00",float4
cb1_v169,"0.99999, 0.00, 0.00, 1.00",float4
cb1_v170,"1.00, 0.00, 0.00, 1.00",float4
cb1_v171,"1.00, 1.00, 1.00, 1.00",float4
cb1_v172,"-2926.27319, -16204.33203, 431.61719, 0.00",float4
cb1_v173,"0.00, 0.00, 0.00, 0.00",float4
cb1_v174,"1.00, 1.00, 1.00, 1.00",float4
cb1_v175,"0.00, 1.00, 1.00, 1.00",float4
cb1_v176,"1.00, 1.00, 1.00, 1.00",float4
cb1_v177,"1.00, 0.00, 0.00, 0.00",float4
cb1_v178,"1.00, 0.00, 0.333, 0.00",float4
cb1_v179,"1.00, 1.00, 1.00, 1.00",float4
cb1_v180,"0.00, 1.00, 1.00, 1.00",float4
cb1_v181,"0.19462, 0.20864, 0.29177, 1.00",float4
cb1_v182,"0.02025, 0.04354, -0.30824, 0.50997",float4
cb1_v183,"0.02239, 0.04322, -0.27834, 0.52161",float4
cb1_v184,"0.01979, 0.0374, -0.23635, 0.49455",float4
cb1_v185,"0.00965, -0.01615, -0.09107, -0.00161",float4
cb1_v186,"0.00881, -0.01372, -0.10285, 0.00119",float4
cb1_v187,"0.00727, -0.01331, -0.10597, 0.00057",float4
cb1_v188,"-0.00019, -0.00034, -0.00037, 1.00",float4
cb1_v189,"0.00, 1.00, 6.00, 1.00",float4
cb1_v190,"0.001, 0.50, 0.30, 0.01",float4
cb1_v191,"2.50, 0.25, 0.25, 0.20",float4
cb1_v192,"0.50, 0.50, 0.10, 4.00",float4
cb1_v193,"0.10, 0.10, 0.00, 0.00",float4
cb1_v194,"0.00, 0.00, 0.00, 1.00",float4
cb1_v195,"0.00, 0.00, 0.00, 0.00",float4
cb1_v196,"-0.40, -0.40, -0.20, 1.00",float4
cb1_v197,"0.45, 0.45, 0.40, 1.00",float4
cb1_v198,"0.00, 0.00, 0.00, 0.00",float4
cb1_v199,"1.00, 1.00, 1.00, 1.00",float4
cb1_v200,"0.125, 0.1125, 0.10, 1.00",float4
cb1_v201,"0.16655, 0.25109, 0.27604, 1.00",float4
cb1_v202,"1.00, 1.40130E-45, 0.80, 0.00",float4
cb1_v203,"5.00, -0.50, 10000.00, 0.00",float4
cb1_v204,"0.00, 0.00, 0.00, 1.00",float4
cb1_v205,"0.00, 0.00, 0.00, 1.00",float4
cb1_v206,"0.00, 0.00, 0.00, 1.00",float4
cb1_v207,"0.00, 0.00, 0.00, 1.00",float4
cb1_v208,"0.00, 0.00, 0.00, 1.00",float4
cb1_v209,"0.00, 0.00, 0.00, 1.00",float4
cb1_v210,"0.00, 0.00, 0.00, 1.00",float4
cb1_v211,"0.00, 0.00, 0.00, 1.00",float4
cb1_v212,"0.00, 0.00, 0.00, 0.00",float4
cb1_v213,"0.00, 0.00, 1.00, 0.00",float4
